movieId,imdbId,tmdbId,tmdb_rating
1,0114709,862,0.8
2,0113497,8844,0.72
3,0113228,15602,0.65
4,0114885,31357,0.63
5,0113041,11862,0.62
6,0113277,949,0.79
7,0114319,11860,0.62
8,0112302,45325,0.53
9,0114576,9091,0.6
10,0113189,710,0.69
11,0112346,9087,0.65
12,0112896,12110,0.61
13,0112453,21032,0.73
14,0113987,10858,0.69
15,0112760,1408,0.58
16,0112641,524,0.8
17,0114388,4584,0.74
18,0113101,5,0.58
19,0112281,9273,0.63
20,0113845,11517,0.58
21,0113161,8012,0.65
22,0112722,1710,0.65
23,0112401,9691,0.65
24,0114168,12665,0.7
25,0113627,451,0.73
26,0114057,16420,0.64
27,0114011,9263,0.69
28,0114117,17015,0.71
29,0112682,902,0.72
30,0115012,37557,0.68
31,0112792,9909,0.7
32,0114746,63,0.76
34,0112431,9598,0.62
36,0112818,687,0.73
38,0113442,33689,0.65
39,0112697,9603,0.73
40,0112749,34615,0.67
41,0114279,31174,0.67
42,0112819,11443,0.66
43,0114272,35196,0.6
44,0113855,9312,0.59
45,0114681,577,0.66
46,0113347,11861,0.64
47,0114369,807,0.84
48,0114148,10530,0.69
49,0114916,8391,0.62
50,0114814,629,0.82
52,0113819,11448,0.67
53,0110299,49133,0.71
54,0112499,26441,0.56
55,0113158,97406,0.59
57,0113321,9089,0.63
58,0110877,11010,0.79
60,0113419,11359,0.65
61,0116260,17182,0.61
62,0113862,2054,0.7
63,0116126,10607,0.7
64,0118002,19760,0.49
65,0115683,9536,0.45
66,0116839,11525,0.31
68,0113149,4482,0.61
69,0113118,10634,0.72
70,0116367,755  ,0.7
71,0113010,11859,0.51
72,0113537,28387,0.62
73,0113828,48750,0.67
74,0115644,20927,0.58
75,0115676,36929,0.45
76,0114367,9102,0.62
77,0113973,124626,0.75
78,0112744,27526,0.6
79,0116731,9623,0.56
80,0112445,46785,0.75
81,0114660,400,0.65
82,0112379,880,0.7
83,0114039,146599,0.43
85,0112365,8447,0.64
86,0118158,10534,0.63
87,0116151,17414,0.54
88,0115697,13997,0.6
89,0113972,2086,0.62
92,0117002,9095,0.58
93,0114825,12158,0.51
94,0115639,9283,0.67
95,0115759,9208,0.6
96,0113403,40154,0.7
97,0113247,406,0.81
99,0113283,63076,0.66
100,0115907,11062,0.59
101,0115734,13685,0.67
102,0117102,47475,0.4
103,0118040,2045,0.56
104,0116483,9614,0.66
105,0112579,688,0.77
106,0110251,11907,0.63
107,0117110,10874,0.66
108,0112646,89333,0.75
110,0112573,197,0.79
111,0075314,103,0.81
112,0113326,33542,0.68
113,0115645,43566,0.59
116,0112373,51352,0.76
117,0115033,16934,0.66
118,0116606,10324,0.51
119,0114536,78406,0.43
121,0106473,32119,0.72
122,0103859,11066,0.57
123,0109424,11104,0.8
125,0116324,2074,0.62
126,0110647,27793,0.45
128,0110217,290157,0.71
129,0114131,110972,0.66
132,0113451,11863,0.54
135,0116130,9101,0.63
137,0113756,5757,0.31
140,0118055,9302,0.63
141,0115685,11000,0.7
144,0112585,16388,0.6
145,0112442,9737,0.68
146,0112342,30765,0.56
147,0112461,10474,0.74
148,0112427,22279,0.67
149,0109093,30157,0.63
150,0112384,568,0.75
151,0114287,11780,0.67
152,0112288,34996,0.65
153,0112462,414,0.54
154,0061395,649,0.74
155,0112495,1873,0.66
156,0112541,5894,0.65
157,0109370,1775,0.58
158,0112642,8839,0.63
159,0112688,20649,0.67
160,0112715,10329,0.55
161,0112740,8963,0.72
162,0109508,26564,0.75
163,0112851,8068,0.69
164,0112857,8512,0.64
165,0112864,1572,0.73
166,0112887,13552,0.64
168,0113071,6520,0.61
169,0113114,9073,0.59
170,0113243,10428,0.63
171,0113464,17447,0.62
172,0113481,9886,0.58
173,0113492,9482,0.58
174,0113500,19326,0.44
175,0113540,9344,0.69
176,0113677,9071,0.72
177,0113690,8973,0.6
178,0107447,15730,0.58
179,0113729,47608,0.52
180,0113749,2293,0.68
181,0113820,9070,0.58
183,0110604,48787,0.64
184,0110620,34574,0.57
185,0113957,1642,0.6
186,0113986,11472,0.57
187,0114095,36196,0.64
188,0114194,11980,0.65
189,0114241,58372,0.64
190,0114323,32646,0.7
191,0114345,10533,0.6
193,0114436,10802,0.56
194,0114478,10149,0.72
195,0114496,18402,0.57
196,0114508,9348,0.6
198,0114558,281,0.7
199,0058450,5967,0.74
201,0114663,47939,0.62
202,0114702,36834,0.64
203,0114682,9090,0.73
204,0114781,3512,0.58
205,0114798,52856,0.59
206,0114805,77350,0.55
207,0114887,9560,0.73
208,0114898,9804,0.62
209,0114928,31611,0.5
210,0114938,65796,0.57
211,0109340,49805,0.65
212,0112602,26258,0.52
213,0111579,50797,0.71
214,0110882,19155,0.73
215,0112471,76,0.8
216,0112508,11017,0.62
217,0112438,37141,0.52
218,0112571,9382,0.63
219,0112757,6715,0.79
220,0112643,18256,0.62
222,0112679,22625,0.62
223,0109445,2292,0.74
224,0112883,1909,0.67
225,0109635,8984,0.63
227,0109676,4954,0.57
228,0112854,62488,0.52
229,0109579,10531,0.71
230,0109642,11929,0.73
231,0109686,8467,0.66
232,0111797,10451,0.76
233,0109759,20156,0.66
234,0109758,18395,0.41
235,0109707,522,0.75
236,0113117,397,0.64
237,0113097,10525,0.62
238,0113028,27985,0.61
239,0113198,15789,0.7
240,0113303,27303,0.52
241,0113089,21183,0.71
242,0109771,10954,0.66
243,0113199,47867,0.52
246,0110057,14275,0.76
247,0110005,1024,0.7
248,0110066,17207,0.55
249,0110116,13701,0.71
250,0110006,14819,0.61
251,0113360,32631,0.57
252,0110099,11777,0.6
253,0110148,628,0.74
254,0113463,87729,0.51
255,0110189,18713,0.42
256,0110216,6280,0.52
257,0113501,9061,0.62
258,0113538,37108,0.49
259,0113552,6071,0.56
260,0076759,11,0.82
261,0110367,9587,0.73
262,0113670,19101,0.76
263,0110296,49980,0.72
265,0103994,18183,0.73
266,0110322,4476,0.74
267,0110443,11008,0.64
269,0107566,32325,0.71
270,0110391,43742,0.54
271,0113691,28313,0.64
272,0110428,11318,0.68
273,0109836,3036,0.64
274,0113755,40490,0.53
275,0110538,24070,0.54
276,0110516,8986,0.63
277,0110527,10510,0.67
278,0113808,17402,0.53
279,0113896,38722,0.76
280,0113870,8438,0.72
281,0110684,11593,0.68
282,0110638,1945,0.66
283,0113967,39310,0.61
284,0117169,109560,0.33
285,0106402,56428,0.5
287,0110671,131957,0.57
288,0110632,241,0.71
289,0110737,9058,0.68
290,0110729,527,0.74
291,0114151,18220,0.47
292,0114069,6950,0.66
293,0110413,101,0.83
294,0114113,63020,0.63
295,0114210,2307,0.49
296,0110912,680,0.85
298,0105652,25296,0.73
299,0110889,40156,0.64
300,0110932,11450,0.73
301,0114129,30304,0.63
302,0110963,10452,0.72
303,0114214,12106,0.65
304,0114296,161495,0.62
305,0110907,3586,0.52
306,0111495,110,0.79
307,0108394,108,0.77
308,0111507,109,0.75
310,0114268,36357,0.55
311,0110965,92769,0.5
312,0114571,28033,0.52
313,0111333,22586,0.66
314,0111112,14334,0.67
315,0111255,2636,0.59
316,0111282,2164,0.7
317,0111070,11395,0.65
318,0111161,278,0.87
319,0111149,9905,0.7
320,0108260,87078,0.64
321,0106966,12527,0.71
322,0114594,20306,0.66
324,0111309,36614,0.68
325,0113936,27993,0.54
326,0110081,31439,0.8
327,0114614,9067,0.54
328,0114608,9059,0.69
329,0111280,193,0.65
330,0114609,25066,0.63
331,0111454,46797,0.6
332,0114852,12122,0.61
333,0114694,11381,0.68
334,0111590,32636,0.65
335,0114788,36141,0.56
336,0114888,95963,0.62
337,0108550,1587,0.77
338,0114857,9271,0.55
339,0114924,2064,0.7
340,0111667,19855,0.66
341,0109655,60855,0.66
342,0110598,236,0.68
343,0112435,48287,0.54
344,0109040,3049,0.66
345,0109045,2759,0.73
346,0106339,12635,0.61
347,0104779,10497,0.71
348,0109348,11382,0.71
349,0109444,9331,0.66
350,0109446,10731,0.67
351,0109484,10464,0.67
352,0109504,34152,0.68
353,0109506,9495,0.75
354,0109450,29973,0.6
355,0109813,888,0.53
356,0109830,13,0.85
357,0109831,712,0.68
358,0113305,16295,0.63
359,0110091,48992,0.64
360,0110093,10879,0.55
361,0110167,10660,0.66
362,0110213,10714,0.59
363,0107472,41647,0.71
364,0110357,8587,0.83
365,0107426,1689,0.63
366,0111686,11596,0.64
367,0110475,854,0.7
368,0110478,9359,0.69
369,0110588,23333,0.6
370,0110622,36593,0.65
371,0110771,12280,0.66
372,0110950,2788,0.66
373,0105226,10427,0.67
374,0110989,11011,0.59
376,0110997,8987,0.64
377,0111257,1637,0.71
378,0111256,15128,0.59
379,0111438,8831,0.6
380,0111503,36955,0.71
381,0111693,10449,0.65
382,0111742,10395,0.61
383,0111756,12160,0.68
384,0112443,40480,0.48
385,0110455,52038,0.63
386,0111048,29444,0.6
387,0110399,26352,0.56
388,0112570,39953,0.48
389,0109454,41580,0.64
390,0059170,315,0.63
391,0110186,22067,0.68
393,0111301,11667,0.46
405,0110027,8011,0.47
406,0109785,171857,0.48
407,0113409,2654,0.72
408,0109021,18069,0.73
409,0109035,19092,0.69
410,0106220,2758,0.7
412,0106226,10436,0.7
413,0109068,13595,0.61
414,0109067,46094,0.62
415,0106292,9409,0.55
416,0109198,11853,0.54
417,0109219,16771,0.62
418,0106379,46924,0.5
419,0106400,11041,0.63
420,0109254,306,0.59
421,0109279,14522,0.67
422,0109297,26203,0.62
423,0109303,178,0.62
424,0109305,19819,0.61
425,0109306,57834,0.6
426,0106452,4722,0.61
427,0106471,18215,0.51
428,0106489,1607,0.79
429,0109361,26391,0.51
430,0106505,117553,0.52
431,0106519,6075,0.78
432,0109439,11310,0.52
433,0109443,18658,0.58
434,0106582,9350,0.65
435,0106598,9612,0.54
436,0109456,2124,0.57
437,0109480,26261,0.51
438,0109493,19176,0.56
440,0106673,11566,0.67
441,0106677,9571,0.73
442,0106697,9739,0.67
444,0106834,34444,0.44
445,0106873,26141,0.54
446,0106332,10997,0.8
448,0106881,10443,0.69
449,0106880,20239,0.6
450,0111732,16297,0.68
451,0106926,18551,0.6
452,0111712,25440,0.62
453,0106941,9024,0.62
454,0106918,37233,0.67
455,0106965,1634,0.62
456,0109842,13815,0.72
457,0106977,5503,0.75
458,0107004,35588,0.63
459,0109890,2087,0.57
460,0109891,41579,0.52
461,0109913,18620,0.46
464,0107076,2019,0.64
466,0107144,9255,0.65
467,0113674,26271,0.45
468,0112966,10612,0.63
469,0107151,2259,0.69
470,0110064,16097,0.51
471,0110074,11934,0.71
472,0110097,106143,0.56
473,0110123,12475,0.51
474,0107206,9386,0.7
475,0107207,7984,0.79
476,0110137,59930,0.54
477,0108551,15765,0.71
478,0110197,31643,0.52
479,0107286,6,0.65
480,0107290,329,0.8
481,0107302,10909,0.66
482,0110265,507,0.63
484,0110305,29918,0.61
485,0107362,9593,0.65
486,0107413,42580,0.57
487,0110353,22317,0.56
488,0107468,1413,0.66
489,0107478,12121,0.55
490,0107497,2246,0.63
491,0107501,10502,0.65
492,0107507,10440,0.73
493,0107554,9516,0.75
494,0116253,2320,0.63
495,0074102,5879,0.66
496,0111689,83718,0.7
497,0107616,11971,0.7
499,0107613,31911,0.57
500,0107614,788,0.72
501,0107653,21450,0.73
502,0110657,11231,0.54
504,0110678,10447,0.63
505,0110687,31586,0.5
506,0107756,9300,0.69
507,0107808,9559,0.75
508,0107818,9800,0.77
509,0107822,713,0.74
510,0107840,8291,0.69
511,0107889,18133,0.64
512,0111003,25557,0.57
513,0110939,22588,0.6
514,0110955,10872,0.66
515,0107943,1245,0.74
516,0110971,11858,0.61
517,0107969,7007,0.62
518,0111001,10467,0.56
519,0107978,5550,0.49
520,0107977,8005,0.66
521,0107983,2088,0.62
522,0105275,10412,0.66
523,0108000,47889,0.6
524,0108002,14534,0.74
526,0105032,41878,0.66
527,0108052,424,0.86
528,0111094,35233,0.52
529,0108065,14291,0.71
531,0108071,11236,0.74
532,0111127,11592,0.67
533,0111143,8850,0.61
534,0108101,10445,0.69
535,0108122,695,0.72
536,0111194,43535,0.6
537,0111201,12519,0.56
538,0108149,23210,0.64
539,0108160,858,0.67
540,0108162,867,0.55
541,0083658,78,0.79
542,0108186,13203,0.6
543,0108174,10442,0.61
544,0108238,11074,0.58
546,0108255,9607,0.44
547,0111323,17585,0.61
548,0111400,9057,0.53
549,0108328,20967,0.71
550,0111418,10635,0.64
551,0107688,9479,0.78
552,0108333,10057,0.64
553,0108358,11969,0.76
555,0108399,319,0.75
556,0108515,26408,0.7
558,0110763,15139,0.64
562,0114906,11446,0.71
563,0107002,51980,0.67
564,0109403,24405,0.53
567,0107315,8223,0.65
568,0106408,14587,0.53
569,0110363,31504,0.57
573,0107225,23637,0.72
574,0111252,17600,0.56
575,0110366,10897,0.68
577,0109120,21352,0.53
579,0108059,68806,0.65
580,0110892,37345,0.54
581,0112651,32562,0.72
583,0109382,25403,0.74
585,0112572,9066,0.61
586,0099785,771,0.74
587,0099653,251,0.72
588,0103639,812,0.77
589,0103064,280,0.81
590,0099348,581,0.78
592,0096895,268,0.72
593,0102926,274,0.83
594,0029583,408,0.71
595,0101414,10020,0.77
596,0032910,10895,0.71
597,0100405,114,0.75
599,0065214,576,0.76
600,0110395,15477,0.57
602,0109934,124472,0.62
605,0117247,7300,0.64
606,0112625,10824,0.54
608,0116282,275,0.79
609,0116552,25059,0.66
610,0082509,11827,0.65
611,0116514,8766,0.53
612,0117283,23570,0.49
613,0116684,47333,0.69
615,0070506,51242,0.72
616,0065421,10112,0.73
617,0113083,4307,0.68
618,0118001,46029,0.53
619,0116165,32308,0.41
626,0117891,28121,0.57
627,0113613,12520,0.66
628,0117381,1592,0.77
631,0115509,19042,0.59
632,0114671,38884,0.74
633,0112844,47449,0.65
634,0114658,36259,0.36
635,0116275,41852,0.64
636,0113122,40926,0.41
637,0117608,9099,0.58
638,0113448,2021,0.67
639,0116414,61752,0.5
640,0116095,10988,0.55
645,0113947,12652,0.69
647,0115956,10684,0.65
648,0117060,954,0.7
649,0109028,68445,0.65
650,0117071,18989,0.61
653,0116136,8840,0.65
656,0116168,11107,0.54
661,0116683,10539,0.66
662,0116287,10543,0.64
663,0116768,18414,0.61
665,0114787,11902,0.78
667,0112536,25087,0.54
668,0048473,5801,0.8
670,0052572,896,0.81
671,0117128,3065,0.66
673,0117705,2300,0.68
674,0062711,8069,0.6
678,0108181,27768,0.67
679,0114307,221917,0.68
680,0058898,8072,0.7
685,0113443,33245,0.63
688,0114048,27281,0.52
691,0117104,40001,0.72
692,0117688,29621,0.46
694,0117774,20762,0.69
695,0114736,37144,0.57
697,0116289,12656,0.54
698,0109593,38867,0.43
700,0112368,25969,0.65
703,0115742,43634,0.54
704,0117420,9103,0.62
706,0117784,29649,0.61
707,0117107,10990,0.59
708,0117979,8866,0.6
709,0095776,12233,0.67
710,0115851,23449,0.53
711,0116322,36355,0.55
714,0112817,922,0.73
715,0113362,11876,0.65
718,0108500,11687,0.71
719,0117108,9304,0.58
720,0118114,503475,0.75
722,0113270,73183,0.76
724,0115963,9100,0.68
725,0116448,20759,0.52
726,0116827,46063,0.57
728,0112701,32513,0.67
731,0116508,36915,0.51
733,0117500,9802,0.71
735,0109592,21588,0.69
736,0117998,664,0.65
737,0115624,11867,0.4
741,0113568,9323,0.79
742,0117894,10280,0.59
743,0117723,10535,0.54
745,0112691,532,0.76
747,0117768,16299,0.47
748,0115571,10547,0.6
750,0057012,935,0.81
757,0109688,40751,0.71
759,0110480,85778,0.7
760,0108211,11101,0.73
761,0117331,9826,0.52
762,0117765,9879,0.55
764,0113280,22621,0.66
765,0116669,7095,0.63
766,0116594,26890,0.62
773,0070820,77771,0.67
775,0063715,41225,0.62
778,0117951,627,0.8
779,0118523,32872,0.39
780,0116629,602,0.69
781,0117737,14553,0.67
782,0116277,9566,0.6
783,0116583,10545,0.71
784,0115798,9894,0.6
785,0116778,11543,0.65
786,0116213,9268,0.61
788,0117218,9327,0.56
790,0111546,81949,0.59
791,0113610,,
795,0111237,44535,0.52
798,0116040,11228,0.61
799,0116365,10779,0.69
800,0116905,26748,0.7
801,0116493,38223,0.6
802,0117333,9294,0.64
803,0118113,49963,0.6
804,0117628,11363,0.55
805,0117913,1645,0.74
806,0115530,31546,0.55
808,0115493,36344,0.58
809,0116320,18550,0.55
810,0116756,11511,0.42
813,0116823,34170,0.55
818,0118073,12606,0.58
823,0061495,4837,0.69
824,0110246,12632,0.61
828,0115472,18975,0.53
829,0116707,11962,0.57
830,0116313,2925,0.67
832,0117438,3595,0.67
833,0116531,9308,0.55
835,0116353,18555,0.6
836,0115857,12123,0.57
837,0117008,10830,0.72
838,0116191,3573,0.67
839,0115986,10546,0.55
840,0116571,18862,0.53
841,0053459,31417,0.76
842,0117826,9431,0.59
848,0117718,47907,0.65
849,0116225,10061,0.59
851,0115632,549,0.66
852,0117918,10478,0.6
858,0068646,238,0.87
861,0104558,11134,0.68
866,0115736,9303,0.72
867,0115836,23945,0.5
869,0116745,22479,0.63
870,0119214,9054,0.48
875,0110693,410921,0.2
876,0106544,38955,0.57
879,0120004,11015,0.6
880,0116654,9306,0.49
881,0116311,12559,0.57
882,0117965,58770,0.58
885,0115725,3587,0.58
886,0115783,10723,0.57
888,0113596,19004,0.62
889,0109001,101230,0.48
891,0113253,10987,0.52
892,0117991,44705,0.69
893,0117093,20318,0.67
896,0111019,26933,0.71
897,0035896,27854,0.65
898,0032904,981,0.76
899,0045152,872,0.82
900,0043278,2769,0.7
901,0050419,13320,0.7
902,0054698,164,0.77
903,0052357,426,0.82
904,0047396,567,0.84
905,0025316,3078,0.78
906,0036855,13528,0.75
907,0025164,28288,0.68
908,0053125,213,0.8
909,0053604,284,0.82
910,0053291,239,0.81
911,0056923,4808,0.77
912,0034583,289,0.82
913,0033870,963,0.77
914,0058385,11113,0.75
915,0047437,6620,0.75
916,0046250,804,0.79
917,0031580,26531,0.67
918,0037059,909,0.7
919,0032138,630,0.76
920,0031381,770,0.79
921,0084370,31044,0.68
922,0043014,599,0.83
923,0033467,15,0.8
924,0062622,62,0.81
926,0042192,705,0.81
927,0032143,22490,0.7
928,0032976,223,0.79
929,0032484,25670,0.7
930,0038787,303,0.77
931,0038109,4174,0.74
932,0050105,8356,0.74
933,0048728,381,0.73
934,0042451,20758,0.7
935,0045537,29376,0.71
936,0031725,1859,0.75
937,0050658,18299,0.7
938,0051658,17281,0.62
940,0029843,10907,0.74
941,0032762,32093,0.7
942,0037008,1939,0.76
943,0039420,22292,0.75
944,0029162,3598,0.7
945,0027125,3080,0.73
946,0035446,198,0.78
947,0028010,13562,0.76
948,0049261,1712,0.76
949,0048028,220,0.76
950,0025878,3529,0.75
951,0032599,3085,0.74
952,0048960,2897,0.66
953,0038650,1585,0.83
954,0031679,3083,0.79
955,0029947,900,0.75
956,0034012,43795,0.65
959,0025586,43905,0.64
961,0027893,23114,0.69
963,0041509,40206,0.64
965,0026029,260,0.74
968,0063350,10331,0.76
969,0043265,488,0.73
970,0046414,22733,0.62
971,0051459,261,0.76
973,0033891,32574,0.73
976,0022879,22649,0.62
979,0114007,125587,0.45
981,0118927,52855,0.44
982,0048491,39940,0.63
984,0117357,85328,0.41
986,0116329,11076,0.69
987,0118742,63945,0.55
988,0116442,58985,0.63
990,0117011,10861,0.57
991,0117039,1770,0.69
993,0116635,2033,0.62
994,0115678,18203,0.69
996,0116830,9333,0.63
998,0117603,9400,0.72
999,0115438,9401,0.62
1003,0116259,11306,0.6
1004,0116421,9625,0.54
1005,0116000,10680,0.59
1006,0115862,6346,0.6
1007,0072653,18660,0.65
1008,0047977,35115,0.64
1009,0072951,14821,0.64
1010,0064603,14136,0.65
1011,0071607,10869,0.61
1012,0050798,22660,0.69
1013,0055277,19186,0.7
1014,0054195,31102,0.7
1015,0107131,6878,0.7
1016,0053271,15944,0.61
1017,0054357,18444,0.69
1018,0059793,20723,0.65
1019,0046672,173,0.7
1020,0106611,864,0.7
1021,0109127,24795,0.59
1022,0042332,11224,0.7
1023,0063819,81310,0.73
1024,0038166,15947,0.63
1025,0057546,9078,0.72
1027,0102798,8367,0.69
1028,0058331,433,0.76
1029,0033563,11360,0.7
1030,0076538,11114,0.63
1031,0066817,12335,0.7
1032,0043274,12092,0.72
1033,0082406,10948,0.71
1034,0116361,11229,0.64
1035,0059742,15121,0.77
1036,0095016,562,0.78
1037,0104692,10163,0.56
1040,0117582,47199,0.54
1041,0117589,11159,0.76
1042,0117887,9591,0.69
1043,0117924,30500,0.55
1046,0115640,10938,0.73
1047,0116908,11412,0.66
1049,0116409,10586,0.68
1050,0116913,42314,0.68
1051,0117958,27845,0.69
1053,0117202,23223,0.61
1054,0116404,49471,0.66
1055,0120107,38153,0.49
1056,0116722,25147,0.63
1057,0116242,9716,0.64
1059,0117509,454,0.68
1060,0117802,10218,0.69
1061,0117665,819,0.76
1064,0115491,11238,0.63
1066,0029546,31530,0.72
1068,0039286,28120,0.66
1073,0067992,252,0.75
1076,0055018,16372,0.74
1077,0070707,11561,0.69
1078,0066808,11302,0.67
1079,0095159,623,0.72
1080,0079470,583,0.78
1081,0084865,12614,0.73
1082,0068334,21711,0.65
1083,0059243,11575,0.71
1084,0061418,475,0.75
1085,0052027,11331,0.65
1086,0046912,521,0.8
1088,0092890,88,0.73
1089,0105236,500,0.81
1090,0091763,792,0.77
1091,0098627,8491,0.64
1092,0103772,402,0.69
1093,0101761,10537,0.71
1094,0104036,11386,0.68
1095,0104348,9504,0.74
1096,0084707,15764,0.73
1097,0083866,601,0.75
1099,0029992,25842,0.71
1100,0099371,2119,0.64
1101,0092099,744,0.71
1103,0048545,221,0.75
1104,0044081,702,0.76
1105,0115885,25750,0.44
1107,0102336,,
1111,0117040,9305,0.75
1112,0117284,37616,0.58
1114,0116378,21612,0.68
1116,0113057,102461,0.61
1117,0116581,36998,0.74
1119,0112907,116844,0.33
1120,0117318,1630,0.7
1121,0116422,26626,0.51
1123,0117320,124837,0.56
1124,0082846,11816,0.72
1125,0072081,11843,0.68
1126,0101775,10379,0.59
1127,0096754,2756,0.74
1128,0080749,790,0.67
1129,0082340,1103,0.71
1130,0082533,11298,0.66
1131,0091288,4480,0.77
1132,0091480,4481,0.76
1135,0081375,10765,0.59
1136,0071853,762,0.78
1137,0116587,44497,0.53
1140,0116212,99479,0.55
1144,0116886,124829,0.7
1147,0118147,10548,0.77
1148,0108598,531,0.78
1150,0084589,4483,0.66
1151,0109781,18919,0.75
1156,0034493,61461,0.76
1161,0078875,659,0.69
